,Ingredient,Number of Usage
1099,coffee liqueur,19
1100,beef shank,19
1101,coffee cream,19
1102,buckwheat groat,18
1103,kohlrabi bulb,18
1104,huckleberri,18
1105,cooking sauc,18
1106,broccoli soup,18
1107,linguica sausag,18
1108,sultana raisin,18
1109,chocolate sauc,18
1110,blue curacao,18
1111,apricot brandi,18
1112,white cornm,18
1113,crab,18
1114,panko,18
1115,unsalted chicken stock,18
1116,bbq sauc,18
1117,melt,18
1118,cabernet sauvignon,18
1119,swai fish,18
1120,vinaigrett,18
1121,origin,18
1122,chocolate waf,18
1123,rabbit,18
1124,chevr,18
1125,truffle oil,18
1126,seawe,18
1127,cauliflower ric,18
1128,fenugreek leav,17
1129,cornichon,17
1130,guajillo chil,17
1131,snow,17
1132,citron vodka,17
1133,broccolini,17
1134,clementin,17
1135,tiger prawn,17
1136,muffin mix,17
1137,colada,17
1138,liquid stevia,17
1139,carob powd,17
1140,burger crumbl,17
1141,bologna,17
1142,cola,17
1143,rotini,17
1144,ounce rum,17
1145,rice sid,17
1146,caramel top,17
1147,matcha green,17
1148,chai tea,17
1149,black mustard se,17
1150,bean past,17
1151,rose pet,17
1152,cranberry bean,17
1153,tube,17
1154,cheese soup,17
1155,celeriac,17
1156,crumbl,17
1157,raspberry sherbet,17
1158,tzatziki sauc,17
1159,pineapple preserv,17
1160,strawberry cak,17
1161,pork rind,17
1162,za'atar,17
1163,wheat crack,17
1164,rice vermicelli,17
1165,container cream chees,17
1166,sugar-fre,17
1167,jigger,16
1168,filet,16
1169,pork neck,16
1170,tempeh,16
1171,soybean oil,16
1172,vanilla flavor,16
1173,white truffle oil,16
1174,carton beef stock,16
1175,licoric,16
1176,turmeric root,16
1177,marzano tomato,16
1178,dry marsala win,16
1179,tonic wat,16
1180,custard powd,16
1181,candied fruit,16
1182,arrowroot flour,16
1183,cane,16
1184,pandan leav,16
1185,hemp seed heart,16
1186,agar-agar powd,16
1187,dry pasta,16
1188,graham,16
1189,lemon zest,16
1190,bitter melon,16
1191,shortbread cooki,16
1192,ciabatta bread,16
1193,lollipop,16
1194,ciabatta rol,16
1195,tamarind juic,16
1196,pie crust pastri,16
1197,glutinous white ric,16
1198,lacinato kal,16
1199,baby clam,16
1200,jarlsberg chees,16
1201,gumdrop,16
1202,crawfish,16
1203,pepper powd,16
1204,peach nectar,16
1205,anise oil,16
1206,gelatin powd,16
1207,jaggeri,16
1208,sriracha,16
1209,buttery crack,16
1210,grenadin,16
1211,liquid season,16
1212,fresno chile pepp,16
1213,tea powd,16
1214,hazelnut spread,16
1215,prosecco,15
1216,tamari sauc,15
1217,brioch,15
1218,bean flour,15
1219,classico,15
1220,beef sausag,15
1221,asparagus tip,15
1222,mint extract,15
1223,chuck roast,15
1224,whole grain mustard,15
1225,sugar cooki,15
1226,cornflak,15
1227,tamarind pulp,15
1228,cayenne pepper sauc,15
1229,fish,15
1230,savoy cabbag,15
1231,bulgur wheat,15
1232,green cardamom,15
1233,anaheim pepp,15
1234,hollandaise sauc,15
1235,chipotle pepper powd,15
1236,angostura bitt,15
1237,medley,15
1238,pie,15
1239,swiss chard,15
1240,shrimp soup,15
1241,patti,15
1242,kombu,15
1243,parmesan,15
1244,raspberry syrup,15
1245,cayenn,15
1246,pie dough,15
1247,passion fruit,15
1248,trout fillet,15
1249,proof rum,15
1250,white fish,15
1251,lyche,15
1252,white peppercorn,15
1253,mung bean,15
1254,vanilla powd,15
1255,tomato pasta sauc,15
1256,vegetable cooking spray,15
1257,handful hickori,15
1258,thread,15
1259,cacao nib,15
1260,beef cub,15
1261,emmentaler chees,15
1262,oaxaca chees,15
1263,bouillon powd,14
1264,beau mond,14
1265,shoepeg corn,14
1266,littleneck clam,14
1267,bengal gram,14
1268,beef tongu,14
1269,fluff,14
1270,toll,14
1271,oyster crack,14
1272,kiwifruit,14
1273,sour appl,14
1274,vanilla vodka,14
1275,raspberry vodka,14
1276,seafood stock,14
1277,citric acid powd,14
1278,wafer,14
1279,puff pastry sheet,14
1280,buffalo sauc,14
1281,tangerine juic,14
1282,jamaican jerk,14
1283,candy eyebal,14
1284,pancak,14
1285,boston lettuc,14
1286,barbeque season,14
1287,parmigiano-reggiano,14
1288,limoncello liqueur,14
1289,dry pectin,14
1290,plum jam,14
1291,grape leav,14
1292,jellied cranberry sauc,14
1293,chocolate shav,14
1294,unsalted cashew,14
1295,salad season,14
1296,pork back,14
1297,honeydew,14
1298,white american chees,14
1299,turkey kielbasa,14
1300,silver tequila,14
